Name,TargetPaths
3x Osc.fst,Generators\Synths\Analog;Generators\Vendors\Image-Line
Autogun.fst,Generators\Synths\Digital;Generators\Vendors\Image-Line
BassDrum.fst,Generators\Drums;Generators\Vendors\Image-Line
BeepMap.fst,Generators\Miscellaneous
BooBass.fst,Generators\Synths\Digital;Generators\Vendors\Image-Line
Control Surface.fst,Effects\Utilities\Routing
Cymatics Origin.fst,Effects\Distortion\Saturation
Dashboard.fst,Effects\Utilities\Tools
DirectWave.fst,Generators\Samplers;Generators\Vendors\Image-Line
Distructor.fst,Effects\Distortion\Aggressive;Effects\Vendors\Image-Line
Drumaxx.fst,Generators\Drums;Generators\Vendors\Image-Line
Drumpad.fst,Generators\Drums;Generators\Vendors\Image-Line
DSK Saxophones.fst,Generators\Samplers;Generators\Vendors\DSK Music
Edison.fst,Effects\Utilities\Analyzers;Effects\Vendors\Image-Line
Effector.fst,Effects\Miscellaneous
Emphasis.fst,Effects\Distortion\Saturation
Emphasizer.fst,Effects\Distortion\Aggressive
EQUO.fst,Effects\EQ\Character;Effects\Vendors\Image-Line
FL Keys.fst,Generators\Synths\Digital;Generators\Vendors\Image-Line
FL Slayer.fst,Generators\Synths\Digital;Generators\Vendors\Image-Line
FL Studio Mobile Rack FX.fst,Effects\Miscellaneous
FL Studio Mobile Rack.fst,Generators\Miscellaneous
FL Studio Mobile.fst,Generators\Miscellaneous
FL Studio VSTi (multi).fst,Generators\Miscellaneous
FL Studio VSTi.fst,Generators\Miscellaneous
FLEX.fst,Generators\Synths\Sample-Based;Generators\Vendors\Image-Line
FPC.fst,Generators\Drums;Generators\Vendors\Image-Line
Frequency Shifter.fst,Effects\Modulation\Movement;Effects\Vendors\Image-Line
Frequency Splitter.fst,Effects\EQ\Surgical;Effects\Vendors\Image-Line
Fruit Kick.fst,Generators\Drums;Generators\Vendors\Image-Line
Fruity 7 Band EQ.fst,Effects\EQ\Surgical;Effects\Vendors\Image-Line
Fruity Balance.fst,Effects\Utilities\Routing;Effects\Vendors\Image-Line
Fruity Bass Boost.fst,Effects\EQ\Character;Effects\Vendors\Image-Line
Fruity Big Clock.fst,Effects\Utilities\Analyzers
Fruity Blood Overdrive.fst,Effects\Distortion\Aggressive;Effects\Vendors\Image-Line
Fruity Center.fst,Effects\Utilities\Routing
Fruity Chorus.fst,Effects\Modulation\Classic;Effects\Vendors\Image-Line
Fruity Compressor.fst,Effects\Dynamics\Compressors\Single-Band;Effects\Vendors\Image-Line
Fruity Convolver.fst,Effects\Spatial\Reverb;Effects\Vendors\Image-Line
Fruity Dance.fst,Generators\Miscellaneous
Fruity dB Meter.fst,Effects\Mastering\Metering;Effects\Utilities\Analyzers
Fruity Delay 2.fst,Effects\Spatial\Delay;Effects\Vendors\Image-Line
Fruity Delay 3.fst,Effects\Spatial\Delay;Effects\Vendors\Image-Line
Fruity Delay Bank.fst,Effects\Spatial\Delay;Effects\Vendors\Image-Line
Fruity Delay.fst,Effects\Spatial\Delay;Effects\Vendors\Image-Line
Fruity DrumSynth Live.fst,Generators\Drums;Generators\Vendors\Image-Line
Fruity DX10.fst,Generators\Synths\Digital;Generators\Vendors\Image-Line
Fruity Envelope Controller.fst,Effects\Utilities\Controllers
Fruity Fast Dist.fst,Effects\Distortion\Aggressive;Effects\Vendors\Image-Line
Fruity Fast LP.fst,Effects\EQ\Surgical;Effects\Vendors\Image-Line
Fruity Filter.fst,Effects\EQ\Surgical;Effects\Vendors\Image-Line
Fruity Flanger.fst,Effects\Modulation\Classic;Effects\Vendors\Image-Line
Fruity Flangus.fst,Effects\Modulation\Classic;Effects\Vendors\Image-Line
Fruity Formula Controller.fst,Effects\Utilities\Controllers
Fruity Free Filter.fst,Effects\EQ\Surgical;Effects\Vendors\Image-Line
Fruity Granulizer.fst,Generators\Samplers;Generators\Vendors\Image-Line
Fruity HTML NoteBook.fst,Effects\Utilities\Tools
Fruity Keyboard Controller.fst,Effects\Utilities\Controllers
Fruity Limiter.fst,Effects\Dynamics\Limiters;Effects\Vendors\Image-Line
Fruity Love Philter.fst,Effects\Filters\Creative;Effects\Vendors\Image-Line
Fruity LSD.fst,Effects\Miscellaneous
Fruity Multiband Compressor.fst,Effects\Dynamics\Compressors\Multi-Band;Effects\Vendors\Image-Line
Fruity Mute 2.fst,Effects\Utilities\Tools
Fruity NoteBook 2.fst,Effects\Utilities\Tools
Fruity NoteBook.fst,Effects\Utilities\Tools
Fruity PanOMatic.fst,Effects\Spatial\Panning;Effects\Utilities\Tools;Effects\Vendors\Image-Line
Fruity Parametric EQ 2.fst,Effects\EQ\Surgical;Effects\Vendors\Image-Line
Fruity Parametric EQ.fst,Effects\EQ\Surgical;Effects\Vendors\Image-Line
Fruity Peak Controller.fst,Effects\Utilities\Controllers
Fruity Phase Inverter.fst,Effects\Spatial\Imaging and Stereo;Effects\Utilities\Tools
Fruity Phaser.fst,Effects\Modulation\Classic;Effects\Vendors\Image-Line
Fruity Reeverb 2.fst,Effects\Spatial\Reverb;Effects\Vendors\Image-Line
Fruity Reeverb.fst,Effects\Spatial\Reverb;Effects\Vendors\Image-Line
Fruity Scratcher.fst,Effects\Creative\Time and Glitch
Fruity Send.fst,Effects\Utilities\Routing
Fruity Slicer 2.fst,Generators\Samplers;Generators\Vendors\Image-Line
Fruity Slicer.fst,Generators\Samplers;Generators\Vendors\Image-Line
Fruity Soft Clipper.fst,Effects\Dynamics\Clippers;Effects\Vendors\Image-Line
Fruity Spectroman.fst,Effects\Utilities\Analyzers
Fruity Squeeze.fst,Effects\Distortion\Lo-Fi;Effects\Vendors\Image-Line
Fruity Stereo Enhancer.fst,Effects\Spatial\Imaging and Stereo;Effects\Utilities\Tools;Effects\Vendors\Image-Line
Fruity Stereo Shaper.fst,Effects\Spatial\Imaging and Stereo;Effects\Utilities\Tools;Effects\Vendors\Image-Line
Fruity Video Player.fst,Generators\Miscellaneous
Fruity Vocoder.fst,Effects\Vocal
Fruity Voltage Controller.fst,Effects\Utilities\Controllers
Fruity WaveShaper.fst,Effects\Distortion\Aggressive;Effects\Vendors\Image-Line
Fruity Wrapper.fst,Effects\Miscellaneous
Fruity X-Y Controller.fst,Effects\Utilities\Controllers
Fruity X-Y-Z Controller.fst,Effects\Utilities\Controllers
GMS.fst,Generators\Synths\Digital;Generators\Vendors\Image-Line
Gross Beat.fst,Effects\Creative\Time and Glitch;Effects\Vendors\Image-Line
HalfTime.fst,Effects\Creative\Time and Glitch
Hardcore.fst,Effects\Distortion\Aggressive
Harmless.fst,Generators\Synths\Digital;Generators\Vendors\Image-Line
Harmor.fst,Generators\Synths\Digital;Generators\Vendors\Image-Line
Hyper Chorus.fst,Effects\Modulation\Classic;Effects\Vendors\Image-Line
JUPITER-8.fst,Generators\Synths\Analog;Generators\Vendors\Arturia
Kepler Exo.fst,Generators\Synths\Analog;Generators\Vendors\Image-Line
Kepler.fst,Generators\Synths\Analog;Generators\Vendors\Image-Line
kHs 3-Band EQ.fst,Effects\EQ\Character;Effects\Vendors\Kilohearts
